target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.6552
M2	2-sarah	0.6368	0.6630
M3	3-eva	0.6865	0.6494
M4	4-mia	0.4982	0.4349
M5	5-lily	0.6031	0.5776
M6	6-sabrina	0.7153	0.7475
M7	7-autumn	0.4732	0.4070
M8	8-evie	0.6675	0.5386
M9	9-darshelle	0.7362	0.6849
M10	10-alina	0.7447	0.4883
M11	11-amanda	0.8128	0.7116
M12	12-anna	0.7174	0.4929
M13	13-hunny	0.6589	0.5586
M16	16-zoe	0.6505	0.5919
M17	17-dusha	0.6352	0.4262
M18	18-railey	0.6428	0.4998
M19	19-andreea	0.6825	0.6457
M20	20-salome	0.7251	0.6184
M21	21-alix	0.6822	0.6573
M22	22-alexis	0.6041	0.5922
M23	23-gianna	0.6970	0.6365
M24	24-valentina	0.7185	0.6384
M25	25-rae	0.7095	0.6413
M26	26-zdank	0.7215	0.5107
