target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.7865
M2	2-sarah	0.6368	0.8152
M3	3-eva	0.6865	0.7808
M4	4-mia	0.4982	0.6465
M5	5-lily	0.6031	0.7174
M6	6-sabrina	0.7153	0.8718
M7	7-autumn	0.4732	0.5680
M8	8-evie	0.6675	0.8254
M9	9-darshelle	0.7362	0.8204
M10	10-alina	0.7447	0.8693
M11	11-amanda	0.8128	0.9091
M12	12-anna	0.7174	0.7950
M13	13-hunny	0.6589	0.7776
M16	16-zoe	0.6505	0.7781
M17	17-dusha	0.6352	0.8399
M18	18-railey	0.6428	0.8113
M19	19-andreea	0.6825	0.7520
M20	20-salome	0.7251	0.9177
M21	21-alix	0.6822	0.7709
M22	22-alexis	0.6041	0.7964
M23	23-gianna	0.6970	0.7342
M24	24-valentina	0.7185	0.8414
